lat,long,tbs-pasto,ur-pasto,tpo-pasto,tbs-sombra,ur-sombra,tpo-sombra,posicao,local,classe
-8.61959,-36.61312,18913,80170,15417,18461,85650,16033,0,0,0
-8.61966,-36.61312,18913,80170,15417,18461,85650,16033,0,0,1
-8.61959,-36.61312,18937,80006,15411,18533,84884,15962,0,0,0
-8.61959,-36.61312,18961,79759,15390,18628,84266,15941,0,0,0
-8.61959,-36.61312,18961,79759,15390,18628,84266,15941,0,0,0
-8.61966,-36.61312,18985,79960,15449,18628,84808,16042,0,0,1
-8.61959,-36.61312,18913,79636,15321,18580,84280,15897,0,0,0
-8.61959,-36.61312,18913,79636,15321,18580,84280,15897,0,0,0
-8.61959,-36.61312,18747,79741,15178,18461,84376,15798,0,0,0
-8.61966,-36.61312,18604,80215,15123,18224,85205,15718,0,0,1
-8.61959,-36.61312,18604,80215,15123,18224,85205,15718,0,0,0
-8.61966,-36.61312,18485,80357,15032,18129,85840,15741,0,0,1
-8.61966,-36.61312,18366,80583,14956,18033,85939,15665,0,0,1
-8.61959,-36.61312,18366,80583,14956,18033,85939,15665,1,0,0
-8.61966,-36.61312,18461,80744,15077,18081,86047,15732,0,0,1
-8.61966,-36.61312,18438,80683,15043,18152,85603,15721,1,0,1
-8.61966,-36.61312,18438,80683,15043,18152,85603,15721,1,0,1
-8.61952,-36.61311,18414,80845,15048,18010,86030,15659,1,0,2
-8.61952,-36.61311,18414,80957,15068,18010,86224,15694,1,0,2
-8.61966,-36.61312,18414,80957,15068,18010,86224,15694,1,0,1
-8.61966,-36.61312,18366,80891,15010,18033,85915,15661,1,0,1
-8.61966,-36.61312,18176,80849,14816,17891,85760,15493,1,0,1
-8.61966,-36.61312,18176,80849,14816,17891,85760,15493,1,0,1
-8.61966,-36.61312,18105,81224,14812,17701,86633,15464,1,0,1
-8.61966,-36.61312,18176,81295,14894,17843,86185,15523,0,0,1
-8.61966,-36.61312,18176,81295,14894,17843,86185,15523,0,0,1
-8.61966,-36.61312,18224,81333,14948,17891,86123,15559,1,0,1
-8.61966,-36.61312,18224,81417,14962,17891,86437,15615,1,0,1
-8.61966,-36.61312,18224,81417,14962,17891,86437,15615,1,0,1
-8.61966,-36.61312,18033,81653,14817,17701,86729,15481,0,0,1
-8.61959,-36.61312,18033,81764,14836,17748,86932,15564,0,0,0
-8.61959,-36.61312,18033,81764,14836,17748,86932,15564,0,0,0
-8.61959,-36.61312,18176,81712,14967,18081,85756,15679,0,0,0
-8.61959,-36.61312,18889,81646,15655,18176,86505,15908,0,0,0
-8.61959,-36.61312,18889,81646,15655,18176,86505,15908,0,0,0
-8.61959,-36.61312,19365,80631,15941,18747,84491,16100,0,0,0
-8.61959,-36.61312,19318,80621,15893,18842,84661,16224,0,0,0
-8.61959,-36.61312,19318,80621,15893,18842,84661,16224,0,0,0
-8.61959,-36.61312,20793,78592,16966,19817,82612,16794,0,0,0
-8.61959,-36.61312,21390,74122,16688,20365,77753,16373,0,0,0
-8.61959,-36.61312,21390,74122,16688,20365,77753,16373,0,0,0
-8.61959,-36.61312,21485,73590,16674,21652,74207,16883,0,0,0
-8.61959,-36.61312,21628,73327,16760,21294,74626,16626,0,0,0
-8.61959,-36.61312,21628,73327,16760,21294,74626,16626,0,0,0
-8.61959,-36.61312,22369,71541,17110,22154,72382,16973,0,0,0
-8.61959,-36.61312,23400,68537,17461,22274,70873,16756,0,0,0
-8.61959,-36.61312,23400,68537,17461,22274,70873,16756,0,0,0
-8.61952,-36.61311,24219,66106,17699,23232,66546,16678,0,0,2
-8.61952,-36.61311,24412,64083,17412,24171,63184,16751,1,0,2
-8.61952,-36.61311,24412,64083,17412,24171,63184,16751,1,0,2
-8.61966,-36.61312,24581,63868,17522,24074,63790,16810,1,0,1
-8.61959,-36.61312,24944,60809,17119,24243,60257,16073,1,0,0
-8.61966,-36.61312,24944,60809,17119,24243,60257,16073,0,0,1
-8.61959,-36.61312,24581,61519,16953,24171,60367,16033,0,0,0
-8.61958,-36.61296,25162,59765,17061,24653,59592,16284,0,0,0
-8.61959,-36.61296,25162,59765,17061,24653,59592,16284,0,0,0
-8.61958,-36.61298,25598,58967,17266,24968,57125,15915,0,0,0
-8.61963,-36.6131,26573,54388,16935,25744,53038,15475,0,0,0
-8.61957,-36.61301,26573,54388,16935,25744,53038,15475,0,0,0
-8.61934,-36.61317,26622,53826,16821,26012,54024,16012,0,0,1
-8.61967,-36.61333,26769,54321,17098,26134,51753,15452,0,0,0
-8.61967,-36.61338,26769,54321,17098,26134,51753,15452,0,0,2
-8.61957,-36.61344,27235,51815,16800,27850,46769,15443,0,0,0
-8.61956,-36.61296,27776,49774,16676,27431,48459,15616,0,0,0
-8.61961,-36.61293,27776,49774,16676,27431,48459,15616,0,0,0
-8.61947,-36.61308,27308,51123,16660,27702,46553,15236,0,0,0
-8.61945,-36.61307,27727,50121,16738,27014,48374,15207,0,0,0
-8.61946,-36.61309,27727,50121,16738,27014,48374,15207,0,0,0
-8.61954,-36.61302,28097,49687,16944,28543,45024,15479,0,0,0
-8.6196,-36.61299,27751,49514,16572,27284,47261,15091,0,0,0
-8.6196,-36.61298,27751,49514,16572,27284,47261,15091,0,0,0
-8.6196,-36.61299,28147,49275,16859,27530,46367,15017,0,0,0
-8.61959,-36.61298,29040,46764,16860,29215,42239,15089,0,0,0
-8.61958,-36.61301,29040,46764,16860,29215,42239,15089,0,0,1
-8.61959,-36.61299,28742,46532,16510,29165,41759,14866,0,0,1
-8.61954,-36.61304,29015,45979,16572,29615,40339,14731,0,0,2
-8.61957,-36613,29015,45979,16572,29615,40339,14731,0,0,2
-8.61958,-36613,29740,44231,16622,29240,41597,14873,0,0,1
-8.61951,-36.61308,29590,44148,16457,30268,38649,14649,1,0,1
-8.61933,-36.6132,29590,44148,16457,30268,38649,14649,1,0,2
-8.61939,-36.61328,29040,45427,16406,28891,41185,14406,1,0,2
-8.61963,-36.61337,29115,44486,16147,30243,39545,14982,1,0,0
-8.61978,-36.61329,29115,44486,16147,30243,39545,14982,0,0,0
-8.61963,-36.61326,29389,43993,16221,28493,42398,14499,0,0,0
-8.61956,-36.61303,29840,42760,16182,29665,39761,14552,0,0,0
-8.61934,-36.6132,29840,42760,16182,29665,39761,14552,1,0,1
-8.61934,-36.61312,29365,43366,15973,30293,37820,14335,1,0,2
-8.61937,-36.61311,29215,44170,16125,27825,44908,14789,1,0,2
-8.61938,-36.61311,29215,44170,16125,27825,44908,14789,1,0,2
-8.61939,-36.61311,29640,41945,15699,30293,40615,15444,1,0,2
-8.61932,-36.61315,29490,44924,16639,32021,35675,14954,1,0,2
-8.61962,-36.61327,29490,44924,16639,32021,35675,14954,1,0,2
-8.61968,-36.61324,28444,45323,15829,29640,41060,15029,1,0,2
-8.61936,-36.61313,28891,44198,15842,31204,36792,14714,1,0,2
-8.61938,-36.61311,28891,44198,15842,31204,36792,14714,1,0,2
-8.6194,-36.61309,28072,46158,15775,29215,40160,14306,1,0,1
-8.61967,-36.61305,27875,46297,15642,30343,40174,15318,1,0,1
-8.61974,-36.61316,27875,46297,15642,30343,40174,15318,1,0,1
-8.61965,-36.61337,27333,47203,15448,28990,41944,14778,1,0,1
